,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,total_amount,payment_type,trip_type,congestion_surcharge,taxi_type
144,2023-01-01 02:55:37,2023-01-01 03:09:26,75,162,1.0,3.92,19.8,1.0,0.5,7.52,0.0,,32.57,1.0,1.0,2.75,green_taxi
145,2023-01-01 02:50:56,2023-01-01 03:06:10,75,48,1.0,3.84,19.1,1.0,0.5,4.87,0.0,,29.22,1.0,1.0,2.75,green_taxi
146,2023-01-01 02:03:52,2023-01-01 02:03:57,169,169,2.0,0.01,3.0,1.0,0.5,0.0,0.0,,5.5,2.0,1.0,0.0,green_taxi
147,2023-01-01 02:01:43,2023-01-01 02:03:43,179,7,1.0,0.32,25.0,0.0,0.0,6.32,0.0,,31.62,1.0,2.0,0.0,green_taxi
148,2023-01-01 02:06:40,2023-01-01 02:13:56,41,262,1.0,1.68,10.0,1.0,0.5,2.0,0.0,,17.25,1.0,1.0,2.75,green_taxi
149,2023-01-01 02:31:38,2023-01-01 02:44:26,74,116,1.0,3.11,15.6,1.0,0.5,0.0,0.0,,18.1,2.0,1.0,0.0,green_taxi
150,2023-01-01 02:21:04,2023-01-01 02:28:00,95,96,1.0,1.26,9.3,1.0,0.5,0.0,0.0,,11.8,2.0,1.0,0.0,green_taxi
151,2023-01-01 02:36:36,2023-01-01 02:49:44,82,82,1.0,2.1,12.1,1.0,1.5,0.0,0.0,,14.6,2.0,1.0,0.0,green_taxi
152,2023-01-01 02:23:48,2023-01-01 02:35:09,130,219,1.0,5.34,22.6,1.0,0.5,5.02,0.0,,30.12,1.0,1.0,0.0,green_taxi
153,2023-01-01 02:47:13,2023-01-01 02:51:15,210,210,1.0,0.8,6.5,1.0,1.5,2.65,0.0,,11.65,1.0,1.0,0.0,green_taxi
154,2023-01-01 02:18:16,2023-01-01 02:22:01,152,166,1.0,0.82,15.0,0.0,0.0,3.2,0.0,,19.2,1.0,2.0,0.0,green_taxi
155,2023-01-01 02:24:58,2023-01-01 02:37:41,166,243,1.0,3.79,18.4,1.0,0.5,0.0,0.0,,20.9,2.0,1.0,0.0,green_taxi
156,2023-01-01 02:07:23,2023-01-01 02:12:41,75,236,1.0,0.84,7.2,1.0,0.5,3.11,0.0,,15.56,1.0,1.0,2.75,green_taxi
157,2023-01-01 02:13:53,2023-01-01 02:29:29,75,166,1.0,3.27,18.4,1.0,0.5,4.0,0.0,,24.9,1.0,1.0,0.0,green_taxi
158,2023-01-01 02:35:24,2023-01-01 02:38:09,41,166,1.0,0.64,5.1,1.0,0.5,0.0,0.0,,7.6,2.0,1.0,0.0,green_taxi
